22 апреля 1927 года, процент освещенности луны 76%, по лунному календарю идет 20, 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Стрелец и Козерог
23 апреля 1927 года, процент освещенности луны 67%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Козерог
24 апреля 1927 года, процент освещенности луны 56%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Козерог и Водолей
25 апреля 1927 года, процент освещенности луны 45%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей
26 апреля 1927 года, процент освещенности луны 34%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей и Рыбы
27 апреля 1927 года, процент освещенности луны 24%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рыбы
28 апреля 1927 года, процент освещенности луны 14%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рыбы и Овен
29 апреля 1927 года, процент освещенности луны 7%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Овен
30 апреля 1927 года, процент освещенности луны 2%, , по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Овен и Телец
1 мая 1927 года, процент освещенности луны 0%, по лунному календарю идет 29, 30, 1 лунный день, Новолуние в 14:38, Луна находится в знаке зодиака Телец
2 мая 1927 года, процент освещенности луны 1%, по лунному календарю идет 1, 2 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Телец и Близнецы
3 мая 1927 года, процент освещенности луны 5%, по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы
4 мая 1927 года, процент освещенности луны 11%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы
5 мая 1927 года, процент освещенности луны 19%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы и Рак
6 мая 1927 года, процент освещенности луны 28%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак
7 мая 1927 года, процент освещенности луны 38%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак и Лев
8 мая 1927 года, процент освещенности луны 48%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев
9 мая 1927 года, процент освещенности луны 57%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Лев и Дева
